Datos que encuentra el metodo de Euler(variable ind.	 variable dep.	 numero de thread)
0.000000	 0.785398
0.000063	 0.785494 	 
0.000126	 0.785589 	 
0.000188	 0.785685 	 
0.000251	 0.785781 	 
0.000314	 0.785876 	 
0.000377	 0.785972 	 
0.000440	 0.786068 	 
0.000503	 0.786163 	 
0.000565	 0.786259 	 
0.000628	 0.786354 	 
0.000691	 0.786450 	 
0.000754	 0.786546 	 
0.000817	 0.786641 	 
0.000880	 0.786737 	 
0.000942	 0.786833 	 
0.001005	 0.786928 	 
0.001068	 0.787024 	 
0.001131	 0.787120 	 
0.001194	 0.787215 	 
0.001257	 0.787311 	 
0.001319	 0.787407 	 
0.001382	 0.787502 	 
0.001445	 0.787598 	 
0.001508	 0.787694 	 
0.001571	 0.787789 	 
0.001634	 0.787885 	 
0.001696	 0.787981 	 
0.001759	 0.788076 	 
0.001822	 0.788172 	 
0.001885	 0.788268 	 
0.001948	 0.788363 	 
0.002011	 0.788459 	 
0.002073	 0.788555 	 
0.002136	 0.788650 	 
0.002199	 0.788746 	 
0.002262	 0.788842 	 
0.002325	 0.788938 	 
0.002388	 0.789033 	 
0.002450	 0.789129 	 
0.002513	 0.789225 	 
0.002576	 0.789320 	 
0.002639	 0.789416 	 
0.002702	 0.789512 	 
0.002765	 0.789608 	 
0.002827	 0.789703 	 
0.002890	 0.789799 	 
0.002953	 0.789895 	 
0.003016	 0.789990 	 
0.003079	 0.790086 	 
0.003142	 0.790182 	 
0.003204	 0.790278 	 
0.003267	 0.790373 	 
0.003330	 0.790469 	 
0.003393	 0.790565 	 
0.003456	 0.790661 	 
0.003519	 0.790756 	 
0.003581	 0.790852 	 
0.003644	 0.790948 	 
0.003707	 0.791044 	 
0.003770	 0.791139 	 
0.003833	 0.791235 	 
0.003896	 0.791331 	 
0.003958	 0.791427 	 
0.004021	 0.791523 	 
0.004084	 0.791618 	 
0.004147	 0.791714 	 
0.004210	 0.791810 	 
0.004273	 0.791906 	 
0.004335	 0.792001 	 
0.004398	 0.792097 	 
0.004461	 0.792193 	 
0.004524	 0.792289 	 
0.004587	 0.792385 	 
0.004650	 0.792480 	 
0.004712	 0.792576 	 
0.004775	 0.792672 	 
0.004838	 0.792768 	 
0.004901	 0.792864 	 
0.004964	 0.792959 	 
0.005027	 0.793055 	 
0.005089	 0.793151 	 
0.005152	 0.793247 	 
0.005215	 0.793343 	 
0.005278	 0.793439 	 
0.005341	 0.793534 	 
0.005404	 0.793630 	 
0.005466	 0.793726 	 
0.005529	 0.793822 	 
0.005592	 0.793918 	 
0.005655	 0.794014 	 
0.005718	 0.794109 	 
0.005781	 0.794205 	 
0.005843	 0.794301 	 
0.005906	 0.794397 	 
0.005969	 0.794493 	 
0.006032	 0.794589 	 
0.006095	 0.794685 	 
0.006158	 0.794780 	 
0.006220	 0.794876 	 
0.006283	 0.794972 	 
0.006346	 0.795068 	 
0.006409	 0.795164 	 
0.006472	 0.795260 	 
0.006535	 0.795356 	 
0.006597	 0.795452 	 
0.006660	 0.795547 	 
0.006723	 0.795643 	 
0.006786	 0.795739 	 
0.006849	 0.795835 	 
0.006912	 0.795931 	 
0.006974	 0.796027 	 
0.007037	 0.796123 	 
0.007100	 0.796219 	 
0.007163	 0.796315 	 
0.007226	 0.796410 	 
0.007288	 0.796506 	 
0.007351	 0.796602 	 
0.007414	 0.796698 	 
0.007477	 0.796794 	 
0.007540	 0.796890 	 
0.007603	 0.796986 	 
0.007665	 0.797082 	 
0.007728	 0.797178 	 
0.007791	 0.797274 	 
0.007854	 0.797370 	 
0.007917	 0.797466 	 
0.007980	 0.797562 	 
0.008042	 0.797657 	 
0.008105	 0.797753 	 
0.008168	 0.797849 	 
0.008231	 0.797945 	 
0.008294	 0.798041 	 
0.008357	 0.798137 	 
0.008419	 0.798233 	 
0.008482	 0.798329 	 
0.008545	 0.798425 	 
0.008608	 0.798521 	 
0.008671	 0.798617 	 
0.008734	 0.798713 	 
0.008796	 0.798809 	 
0.008859	 0.798905 	 
0.008922	 0.799001 	 
0.008985	 0.799097 	 
0.009048	 0.799193 	 
0.009111	 0.799289 	 
0.009173	 0.799385 	 
0.009236	 0.799481 	 
0.009299	 0.799577 	 
0.009362	 0.799673 	 
0.009425	 0.799769 	 
0.009488	 0.799865 	 
0.009550	 0.799961 	 
0.009613	 0.800057 	 
0.009676	 0.800153 	 
0.009739	 0.800249 	 
0.009802	 0.800345 	 
0.009865	 0.800441 	 
0.009927	 0.800537 	 
0.009990	 0.800633 	 
0.010053	 0.800729 	 
0.010116	 0.800825 	 
0.010179	 0.800921 	 
0.010242	 0.801017 	 
0.010304	 0.801113 	 
0.010367	 0.801209 	 
0.010430	 0.801305 	 
0.010493	 0.801401 	 
0.010556	 0.801497 	 
0.010619	 0.801593 	 
0.010681	 0.801689 	 
0.010744	 0.801785 	 
0.010807	 0.801881 	 
0.010870	 0.801977 	 
0.010933	 0.802074 	 
0.010996	 0.802170 	 
0.011058	 0.802266 	 
0.011121	 0.802362 	 
0.011184	 0.802458 	 
0.011247	 0.802554 	 
0.011310	 0.802650 	 
0.011373	 0.802746 	 
0.011435	 0.802842 	 
0.011498	 0.802938 	 
0.011561	 0.803034 	 
0.011624	 0.803130 	 
0.011687	 0.803226 	 
0.011750	 0.803323 	 
0.011812	 0.803419 	 
0.011875	 0.803515 	 
0.011938	 0.803611 	 
0.012001	 0.803707 	 
0.012064	 0.803803 	 
0.012127	 0.803899 	 
0.012189	 0.803995 	 
0.012252	 0.804091 	 
0.012315	 0.804187 	 
0.012378	 0.804284 	 
0.012441	 0.804380 	 
0.012504	 0.804476 	 
0.012566	 0.804572 	 
0.012629	 0.804668 	 
0.012692	 0.804764 	 
0.012755	 0.804860 	 
0.012818	 0.804956 	 
0.012881	 0.805053 	 
0.012943	 0.805149 	 
0.013006	 0.805245 	 
0.013069	 0.805341 	 
0.013132	 0.805437 	 
0.013195	 0.805533 	 
0.013258	 0.805630 	 
0.013320	 0.805726 	 
0.013383	 0.805822 	 
0.013446	 0.805918 	 
0.013509	 0.806014 	 
0.013572	 0.806110 	 
0.013635	 0.806207 	 
0.013697	 0.806303 	 
0.013760	 0.806399 	 
0.013823	 0.806495 	 
0.013886	 0.806591 	 
0.013949	 0.806687 	 
0.014012	 0.806784 	 
0.014074	 0.806880 	 
0.014137	 0.806976 	 
0.014200	 0.807072 	 
0.014263	 0.807168 	 
0.014326	 0.807265 	 
0.014388	 0.807361 	 
0.014451	 0.807457 	 
0.014514	 0.807553 	 
0.014577	 0.807649 	 
0.014640	 0.807746 	 
0.014703	 0.807842 	 
0.014765	 0.807938 	 
0.014828	 0.808034 	 
0.014891	 0.808131 	 
0.014954	 0.808227 	 
0.015017	 0.808323 	 
0.015080	 0.808419 	 
0.015142	 0.808515 	 
0.015205	 0.808612 	 
0.015268	 0.808708 	 
0.015331	 0.808804 	 
0.015394	 0.808900 	 
0.015457	 0.808997 	 
0.015519	 0.809093 	 
0.015582	 0.809189 	 
0.015645	 0.809285 	 
0.015708	 0.809382 	 
0.015771	 0.809478 	 
0.015834	 0.809574 	 
0.015896	 0.809670 	 
0.015959	 0.809767 	 
0.016022	 0.809863 	 
0.016085	 0.809959 	 
0.016148	 0.810056 	 
0.016211	 0.810152 	 
0.016273	 0.810248 	 
0.016336	 0.810344 	 
0.016399	 0.810441 	 
0.016462	 0.810537 	 
0.016525	 0.810633 	 
0.016588	 0.810730 	 
0.016650	 0.810826 	 
0.016713	 0.810922 	 
0.016776	 0.811018 	 
0.016839	 0.811115 	 
0.016902	 0.811211 	 
0.016965	 0.811307 	 
0.017027	 0.811404 	 
0.017090	 0.811500 	 
0.017153	 0.811596 	 
0.017216	 0.811693 	 
0.017279	 0.811789 	 
0.017342	 0.811885 	 
0.017404	 0.811982 	 
0.017467	 0.812078 	 
0.017530	 0.812174 	 
0.017593	 0.812271 	 
0.017656	 0.812367 	 
0.017719	 0.812463 	 
0.017781	 0.812560 	 
0.017844	 0.812656 	 
0.017907	 0.812752 	 
0.017970	 0.812849 	 
0.018033	 0.812945 	 
0.018096	 0.813041 	 
0.018158	 0.813138 	 
0.018221	 0.813234 	 
0.018284	 0.813331 	 
0.018347	 0.813427 	 
0.018410	 0.813523 	 
0.018473	 0.813620 	 
0.018535	 0.813716 	 
0.018598	 0.813812 	 
0.018661	 0.813909 	 
0.018724	 0.814005 	 
0.018787	 0.814102 	 
0.018850	 0.814198 	 
0.018912	 0.814294 	 
0.018975	 0.814391 	 
0.019038	 0.814487 	 
0.019101	 0.814584 	 
0.019164	 0.814680 	 
0.019227	 0.814776 	 
0.019289	 0.814873 	 
0.019352	 0.814969 	 
0.019415	 0.815066 	 
0.019478	 0.815162 	 
0.019541	 0.815258 	 
0.019604	 0.815355 	 
0.019666	 0.815451 	 
0.019729	 0.815548 	 
0.019792	 0.815644 	 
0.019855	 0.815741 	 
0.019918	 0.815837 	 
0.019981	 0.815933 	 
0.020043	 0.816030 	 
0.020106	 0.816126 	 
0.020169	 0.816223 	 
0.020232	 0.816319 	 
0.020295	 0.816416 	 
0.020358	 0.816512 	 
0.020420	 0.816609 	 
0.020483	 0.816705 	 
