Datos que encuentra el metodo de Euler(variable ind.	 variable dep.	 numero de thread)
0.000000	 0.785398
0.000063	 0.785310 	 
0.000126	 0.785222 	 
0.000188	 0.785134 	 
0.000251	 0.785045 	 
0.000314	 0.784957 	 
0.000377	 0.784869 	 
0.000440	 0.784781 	 
0.000503	 0.784693 	 
0.000565	 0.784605 	 
0.000628	 0.784517 	 
0.000691	 0.784429 	 
0.000754	 0.784341 	 
0.000817	 0.784253 	 
0.000880	 0.784165 	 
0.000942	 0.784077 	 
0.001005	 0.783989 	 
0.001068	 0.783901 	 
0.001131	 0.783813 	 
0.001194	 0.783725 	 
0.001257	 0.783637 	 
0.001319	 0.783549 	 
0.001382	 0.783461 	 
0.001445	 0.783374 	 
0.001508	 0.783286 	 
0.001571	 0.783198 	 
0.001634	 0.783110 	 
0.001696	 0.783022 	 
0.001759	 0.782935 	 
0.001822	 0.782847 	 
0.001885	 0.782759 	 
0.001948	 0.782671 	 
0.002011	 0.782584 	 
0.002073	 0.782496 	 
0.002136	 0.782408 	 
0.002199	 0.782321 	 
0.002262	 0.782233 	 
0.002325	 0.782146 	 
0.002388	 0.782058 	 
0.002450	 0.781970 	 
0.002513	 0.781883 	 
0.002576	 0.781795 	 
0.002639	 0.781708 	 
0.002702	 0.781620 	 
0.002765	 0.781533 	 
0.002827	 0.781445 	 
0.002890	 0.781358 	 
0.002953	 0.781270 	 
0.003016	 0.781183 	 
0.003079	 0.781096 	 
0.003142	 0.781008 	 
0.003204	 0.780921 	 
0.003267	 0.780834 	 
0.003330	 0.780746 	 
0.003393	 0.780659 	 
0.003456	 0.780572 	 
0.003519	 0.780484 	 
0.003581	 0.780397 	 
0.003644	 0.780310 	 
0.003707	 0.780223 	 
0.003770	 0.780135 	 
0.003833	 0.780048 	 
0.003896	 0.779961 	 
0.003958	 0.779874 	 
0.004021	 0.779787 	 
0.004084	 0.779700 	 
0.004147	 0.779612 	 
0.004210	 0.779525 	 
0.004273	 0.779438 	 
0.004335	 0.779351 	 
0.004398	 0.779264 	 
0.004461	 0.779177 	 
0.004524	 0.779090 	 
0.004587	 0.779003 	 
0.004650	 0.778916 	 
0.004712	 0.778829 	 
0.004775	 0.778742 	 
0.004838	 0.778655 	 
0.004901	 0.778568 	 
0.004964	 0.778482 	 
0.005027	 0.778395 	 
0.005089	 0.778308 	 
0.005152	 0.778221 	 
0.005215	 0.778134 	 
0.005278	 0.778047 	 
0.005341	 0.777961 	 
0.005404	 0.777874 	 
0.005466	 0.777787 	 
0.005529	 0.777700 	 
0.005592	 0.777614 	 
0.005655	 0.777527 	 
0.005718	 0.777440 	 
0.005781	 0.777353 	 
0.005843	 0.777267 	 
0.005906	 0.777180 	 
0.005969	 0.777094 	 
0.006032	 0.777007 	 
0.006095	 0.776920 	 
0.006158	 0.776834 	 
0.006220	 0.776747 	 
0.006283	 0.776661 	 
0.006346	 0.776574 	 
0.006409	 0.776488 	 
0.006472	 0.776401 	 
0.006535	 0.776315 	 
0.006597	 0.776228 	 
0.006660	 0.776142 	 
0.006723	 0.776055 	 
0.006786	 0.775969 	 
0.006849	 0.775883 	 
0.006912	 0.775796 	 
0.006974	 0.775710 	 
0.007037	 0.775624 	 
0.007100	 0.775537 	 
0.007163	 0.775451 	 
0.007226	 0.775365 	 
0.007288	 0.775279 	 
0.007351	 0.775192 	 
0.007414	 0.775106 	 
0.007477	 0.775020 	 
0.007540	 0.774934 	 
0.007603	 0.774847 	 
0.007665	 0.774761 	 
0.007728	 0.774675 	 
0.007791	 0.774589 	 
0.007854	 0.774503 	 
0.007917	 0.774417 	 
0.007980	 0.774331 	 
0.008042	 0.774245 	 
0.008105	 0.774159 	 
0.008168	 0.774073 	 
0.008231	 0.773987 	 
0.008294	 0.773901 	 
0.008357	 0.773815 	 
0.008419	 0.773729 	 
0.008482	 0.773643 	 
0.008545	 0.773557 	 
0.008608	 0.773471 	 
0.008671	 0.773385 	 
0.008734	 0.773299 	 
0.008796	 0.773213 	 
0.008859	 0.773128 	 
0.008922	 0.773042 	 
0.008985	 0.772956 	 
0.009048	 0.772870 	 
0.009111	 0.772784 	 
0.009173	 0.772699 	 
0.009236	 0.772613 	 
0.009299	 0.772527 	 
0.009362	 0.772441 	 
0.009425	 0.772356 	 
0.009488	 0.772270 	 
0.009550	 0.772184 	 
0.009613	 0.772099 	 
0.009676	 0.772013 	 
0.009739	 0.771928 	 
0.009802	 0.771842 	 
0.009865	 0.771756 	 
0.009927	 0.771671 	 
0.009990	 0.771585 	 
0.010053	 0.771500 	 
0.010116	 0.771414 	 
0.010179	 0.771329 	 
0.010242	 0.771243 	 
0.010304	 0.771158 	 
0.010367	 0.771073 	 
0.010430	 0.770987 	 
0.010493	 0.770902 	 
0.010556	 0.770816 	 
0.010619	 0.770731 	 
0.010681	 0.770646 	 
0.010744	 0.770560 	 
0.010807	 0.770475 	 
0.010870	 0.770390 	 
0.010933	 0.770304 	 
0.010996	 0.770219 	 
0.011058	 0.770134 	 
0.011121	 0.770049 	 
0.011184	 0.769963 	 
0.011247	 0.769878 	 
0.011310	 0.769793 	 
0.011373	 0.769708 	 
0.011435	 0.769623 	 
0.011498	 0.769538 	 
0.011561	 0.769453 	 
0.011624	 0.769367 	 
0.011687	 0.769282 	 
0.011750	 0.769197 	 
0.011812	 0.769112 	 
0.011875	 0.769027 	 
0.011938	 0.768942 	 
0.012001	 0.768857 	 
0.012064	 0.768772 	 
0.012127	 0.768687 	 
0.012189	 0.768602 	 
0.012252	 0.768518 	 
0.012315	 0.768433 	 
0.012378	 0.768348 	 
0.012441	 0.768263 	 
0.012504	 0.768178 	 
0.012566	 0.768093 	 
0.012629	 0.768008 	 
0.012692	 0.767924 	 
0.012755	 0.767839 	 
0.012818	 0.767754 	 
0.012881	 0.767669 	 
0.012943	 0.767585 	 
0.013006	 0.767500 	 
0.013069	 0.767415 	 
0.013132	 0.767330 	 
0.013195	 0.767246 	 
0.013258	 0.767161 	 
0.013320	 0.767076 	 
0.013383	 0.766992 	 
0.013446	 0.766907 	 
0.013509	 0.766823 	 
0.013572	 0.766738 	 
0.013635	 0.766654 	 
0.013697	 0.766569 	 
0.013760	 0.766485 	 
0.013823	 0.766400 	 
0.013886	 0.766316 	 
0.013949	 0.766231 	 
0.014012	 0.766147 	 
0.014074	 0.766062 	 
0.014137	 0.765978 	 
0.014200	 0.765893 	 
0.014263	 0.765809 	 
0.014326	 0.765725 	 
0.014388	 0.765640 	 
0.014451	 0.765556 	 
0.014514	 0.765472 	 
0.014577	 0.765387 	 
0.014640	 0.765303 	 
0.014703	 0.765219 	 
0.014765	 0.765135 	 
0.014828	 0.765050 	 
0.014891	 0.764966 	 
0.014954	 0.764882 	 
0.015017	 0.764798 	 
0.015080	 0.764714 	 
0.015142	 0.764630 	 
0.015205	 0.764545 	 
0.015268	 0.764461 	 
0.015331	 0.764377 	 
0.015394	 0.764293 	 
0.015457	 0.764209 	 
0.015519	 0.764125 	 
0.015582	 0.764041 	 
0.015645	 0.763957 	 
0.015708	 0.763873 	 
0.015771	 0.763789 	 
0.015834	 0.763705 	 
0.015896	 0.763621 	 
0.015959	 0.763537 	 
0.016022	 0.763453 	 
0.016085	 0.763369 	 
0.016148	 0.763286 	 
0.016211	 0.763202 	 
0.016273	 0.763118 	 
0.016336	 0.763034 	 
0.016399	 0.762950 	 
0.016462	 0.762866 	 
0.016525	 0.762783 	 
0.016588	 0.762699 	 
0.016650	 0.762615 	 
0.016713	 0.762532 	 
0.016776	 0.762448 	 
0.016839	 0.762364 	 
0.016902	 0.762280 	 
0.016965	 0.762197 	 
0.017027	 0.762113 	 
0.017090	 0.762030 	 
0.017153	 0.761946 	 
0.017216	 0.761862 	 
0.017279	 0.761779 	 
0.017342	 0.761695 	 
0.017404	 0.761612 	 
0.017467	 0.761528 	 
0.017530	 0.761445 	 
0.017593	 0.761361 	 
0.017656	 0.761278 	 
0.017719	 0.761194 	 
0.017781	 0.761111 	 
0.017844	 0.761028 	 
0.017907	 0.760944 	 
0.017970	 0.760861 	 
0.018033	 0.760777 	 
0.018096	 0.760694 	 
0.018158	 0.760611 	 
0.018221	 0.760527 	 
0.018284	 0.760444 	 
0.018347	 0.760361 	 
0.018410	 0.760278 	 
0.018473	 0.760194 	 
0.018535	 0.760111 	 
0.018598	 0.760028 	 
0.018661	 0.759945 	 
0.018724	 0.759862 	 
0.018787	 0.759778 	 
0.018850	 0.759695 	 
0.018912	 0.759612 	 
0.018975	 0.759529 	 
0.019038	 0.759446 	 
0.019101	 0.759363 	 
0.019164	 0.759280 	 
0.019227	 0.759197 	 
0.019289	 0.759114 	 
0.019352	 0.759031 	 
0.019415	 0.758948 	 
0.019478	 0.758865 	 
0.019541	 0.758782 	 
0.019604	 0.758699 	 
0.019666	 0.758616 	 
0.019729	 0.758533 	 
0.019792	 0.758450 	 
0.019855	 0.758367 	 
0.019918	 0.758284 	 
0.019981	 0.758202 	 
0.020043	 0.758119 	 
0.020106	 0.758036 	 
0.020169	 0.757953 	 
0.020232	 0.757870 	 
0.020295	 0.757788 	 
0.020358	 0.757705 	 
0.020420	 0.757622 	 
0.020483	 0.757540 	 
0.020546	 0.757457 	 
0.020609	 0.757374 	 
0.020672	 0.757292 	 
0.020735	 0.757209 	 
0.020797	 0.757126 	 
0.020860	 0.757044 	 
0.020923	 0.756961 	 
0.020986	 0.756879 	 
0.021049	 0.756796 	 
0.021112	 0.756713 	 
0.021174	 0.756631 	 
0.021237	 0.756548 	 
0.021300	 0.756466 	 
0.021363	 0.756384 	 
0.021426	 0.756301 	 
0.021488	 0.756219 	 
0.021551	 0.756136 	 
0.021614	 0.756054 	 
0.021677	 0.755971 	 
0.021740	 0.755889 	 
0.021803	 0.755807 	 
0.021865	 0.755724 	 
0.021928	 0.755642 	 
0.021991	 0.755560 	 
0.022054	 0.755478 	 
0.022117	 0.755395 	 
0.022180	 0.755313 	 
0.022242	 0.755231 	 
0.022305	 0.755149 	 
0.022368	 0.755066 	 
0.022431	 0.754984 	 
0.022494	 0.754902 	 
0.022557	 0.754820 	 
0.022619	 0.754738 	 
0.022682	 0.754656 	 
0.022745	 0.754574 	 
0.022808	 0.754492 	 
0.022871	 0.754410 	 
0.022934	 0.754327 	 
