Datos que encuentra el metodo de Euler(variable ind.	 variable dep.	 numero de thread)
0.016525	 inf 	 
0.016588	 inf 	 
0.016650	 inf 	 
0.016713	 inf 	 
0.016776	 inf 	 
0.016839	 inf 	 
0.016902	 inf 	 
0.016965	 inf 	 
0.017027	 inf 	 
0.017090	 inf 	 
0.017153	 inf 	 
0.017216	 inf 	 
0.017279	 inf 	 
0.017342	 inf 	 
0.017404	 inf 	 
0.017467	 inf 	 
0.017530	 inf 	 
0.017593	 inf 	 
0.017656	 inf 	 
0.017719	 inf 	 
0.017781	 inf 	 
0.017844	 inf 	 
0.017907	 inf 	 
0.017970	 inf 	 
0.018033	 inf 	 
0.018096	 inf 	 
0.018158	 inf 	 
0.018221	 inf 	 
0.018284	 inf 	 
0.018347	 inf 	 
0.018410	 inf 	 
0.018473	 inf 	 
0.018535	 inf 	 
0.018598	 inf 	 
0.018661	 inf 	 
0.018724	 inf 	 
0.018787	 inf 	 
0.018850	 inf 	 
0.018912	 inf 	 
0.018975	 inf 	 
0.019038	 inf 	 
0.019101	 inf 	 
0.019164	 inf 	 
0.019227	 inf 	 
0.019289	 inf 	 
0.019352	 inf 	 
0.019415	 inf 	 
0.019478	 inf 	 
0.019541	 inf 	 
0.019604	 inf 	 
0.019666	 inf 	 
0.019729	 inf 	 
0.019792	 inf 	 
0.019855	 inf 	 
0.019918	 inf 	 
0.019981	 inf 	 
0.020043	 inf 	 
0.020106	 inf 	 
0.020169	 inf 	 
0.020232	 inf 	 
0.020295	 inf 	 
0.020358	 inf 	 
0.020420	 inf 	 
0.020483	 inf 	 
0.020546	 inf 	 
0.020609	 inf 	 
0.020672	 inf 	 
0.020735	 inf 	 
0.020797	 inf 	 
0.020860	 inf 	 
0.020923	 inf 	 
0.020986	 inf 	 
0.021049	 inf 	 
0.021112	 inf 	 
0.021174	 inf 	 
0.021237	 inf 	 
0.021300	 inf 	 
0.021363	 inf 	 
0.021426	 inf 	 
0.021488	 inf 	 
0.021551	 inf 	 
0.021614	 inf 	 
0.021677	 inf 	 
0.021740	 inf 	 
0.021803	 inf 	 
0.021865	 inf 	 
0.021928	 inf 	 
0.021991	 inf 	 
0.022054	 inf 	 
0.022117	 inf 	 
0.022180	 inf 	 
0.022242	 inf 	 
0.022305	 inf 	 
0.022368	 inf 	 
0.022431	 inf 	 
0.022494	 inf 	 
0.022557	 inf 	 
0.022619	 inf 	 
0.022682	 inf 	 
0.022745	 inf 	 
0.022808	 inf 	 
0.022871	 inf 	 
0.022934	 inf 	 
0.022996	 inf 	 
0.023059	 inf 	 
0.023122	 inf 	 
0.023185	 inf 	 
0.023248	 inf 	 
0.023311	 inf 	 
0.023373	 inf 	 
0.023436	 inf 	 
0.023499	 inf 	 
0.023562	 inf 	 
0.023625	 inf 	 
0.023688	 inf 	 
0.023750	 inf 	 
0.023813	 inf 	 
0.023876	 inf 	 
0.023939	 inf 	 
0.024002	 inf 	 
0.024065	 inf 	 
0.024127	 inf 	 
0.024190	 inf 	 
0.024253	 inf 	 
0.024316	 inf 	 
0.024379	 inf 	 
0.024442	 inf 	 
0.024504	 inf 	 
0.024567	 inf 	 
0.024630	 inf 	 
0.024693	 inf 	 
0.024756	 inf 	 
0.024819	 inf 	 
0.024881	 inf 	 
0.024944	 inf 	 
0.025007	 inf 	 
0.025070	 inf 	 
0.025133	 inf 	 
0.025196	 inf 	 
0.025258	 inf 	 
0.025321	 inf 	 
0.025384	 inf 	 
0.025447	 inf 	 
0.025510	 inf 	 
0.025573	 inf 	 
0.025635	 inf 	 
0.025698	 inf 	 
0.025761	 inf 	 
0.025824	 inf 	 
0.025887	 inf 	 
0.025950	 inf 	 
0.026012	 inf 	 
0.026075	 inf 	 
0.026138	 inf 	 
0.026201	 inf 	 
0.026264	 inf 	 
0.026327	 inf 	 
0.026389	 inf 	 
0.026452	 inf 	 
0.026515	 inf 	 
0.026578	 inf 	 
0.026641	 inf 	 
0.026704	 inf 	 
0.026766	 inf 	 
0.026829	 inf 	 
0.026892	 inf 	 
0.026955	 inf 	 
0.027018	 inf 	 
0.027081	 inf 	 
0.027143	 inf 	 
0.027206	 inf 	 
0.027269	 inf 	 
0.027332	 inf 	 
0.027395	 inf 	 
0.027458	 inf 	 
0.027520	 inf 	 
0.027583	 inf 	 
0.027646	 inf 	 
0.027709	 inf 	 
0.027772	 inf 	 
0.027835	 inf 	 
0.027897	 inf 	 
0.027960	 inf 	 
0.028023	 inf 	 
0.028086	 inf 	 
0.028149	 inf 	 
0.028212	 inf 	 
0.028274	 inf 	 
0.028337	 inf 	 
0.028400	 inf 	 
0.028463	 inf 	 
0.028526	 inf 	 
0.028588	 inf 	 
0.028651	 inf 	 
0.028714	 inf 	 
0.028777	 inf 	 
0.028840	 inf 	 
0.028903	 inf 	 
0.028965	 inf 	 
0.029028	 inf 	 
0.029091	 inf 	 
0.029154	 inf 	 
0.029217	 inf 	 
0.029280	 inf 	 
0.029342	 inf 	 
0.029405	 inf 	 
0.029468	 inf 	 
0.029531	 inf 	 
0.029594	 inf 	 
0.029657	 inf 	 
0.029719	 inf 	 
0.029782	 inf 	 
0.029845	 inf 	 
0.029908	 inf 	 
0.029971	 inf 	 
0.030034	 inf 	 
0.030096	 inf 	 
0.030159	 inf 	 
0.030222	 inf 	 
0.030285	 inf 	 
0.030348	 inf 	 
0.030411	 inf 	 
0.030473	 inf 	 
0.030536	 inf 	 
